complaint_text,sector
Bus stop lacks shelter and seating for passengers - plz solve asap,Transport
Irrigation water not reaching the fields - repeated issue since yesterday,Agriculture
Crop insurance claim pending for a long time - minor issue today,Agriculture
Traffic signals not working properly at busy junctions - minor issue for the past few days - no one is taking action,Transport
Attention: Street is damaged and difficult for vehicles - serious issue today,Roads
Divider damaged and unsafe for traffic - urgent issue since last week,Roads
Irrigation water not reaching the fields - minor issue for many days,Agriculture
Loudspeakers used at night disturbing sleep - urgent issue since last week - plz solve asap,PublicSafety
 Need new ration card application processed quickly - minor issue since yesterday - please fix,Other
Traffic signals not working properly at busy junctions - minor issue for a month,Transport
Bus stop lacks shelter and seating for passengers - urgent issue today - please fix,Transport
Public toilet is dirty and unusable - frequent issue today - kripya isko thik karein,Sanitation
Street lights not working at night - repeated issue since yesterday - kindly fix this,Electricity
Frequent power cuts disturbing daily life - frequent issue since last week,Electricity
Open drains causing mosquito problem - serious issue regularly,Sanitation
Need new ration card application processed quickly - major issue since last week,Other
Railway crossing gate not working causing traffic jams - urgent issue today - cheppandi emi chestaru,Transport
Speeding vehicles in residential area need control - urgent issue since last week,PublicSafety
"Paddy crops affected by pest attack, need support - urgent issue for the past few days",Agriculture
Street lights not working at night - urgent issue for many days,Electricity
Footpath broken and dangerous for pedestrians - minor issue for many days,Roads
Loudspeakers used at night disturbing sleep - urgent issue for the past few days - cheppandi emi chestaru,PublicSafety
Teachers absent regularly and classes not held - repeated issue since last week,Education
Kindly note: Need new ration card application processed quickly - repeated issue since yesterday,Other
Sewage water overflowing on the street - urgent issue for many days - no one is taking action,Sanitation
Need new ration card application processed quickly - serious issue since last week - plz solve asap - cheppandi,Other
Attention: No drinking water supply since yesterday - minor issue regularly - requesting help,Water
Loudspeakers used at night disturbing sleep - severe issue for a month - please resolve asap,PublicSafety
Potholes on the main road causing accidents - urgent issue for the past few days - kripya isko thik karein,Roads
Footpath broken and dangerous for pedestrians - minor issue since yesterday - please take action,Roads
Tap water is muddy and smells bad - major issue for many days,Water
Ambulance not arriving quickly during emergencies - plz solve asap,Health
Attention: Divider damaged and unsafe for traffic - frequent issue for many days - kripya isko thik karein,Roads
No proper drinking water facility in school - repeated issue for many days - no one is taking action,Education
No proper drinking water facility in school - urgent issue today,Education
Divider damaged and unsafe for traffic - severe issue since yesterday,Roads
Aadhaar update facility not available at office - repeated issue today,Other
Irrigation water not reaching the fields - major issue today,Agriculture
Divider damaged and unsafe for traffic - major issue since yesterday,Roads
Fertilizer subsidy not credited to farmers - major issue today - requesting help,Agriculture
Potholes on the main road causing accidents - major issue today - this is urgent,Roads
Attention: School building walls are cracked and unsafe - minor issue for a month,Education
School needs more benches and fans - frequent issue today,Education
 Ambulance not arriving quickly during emergencies - frequent issue since yesterday,Health
Need new ration card application processed quickly - repeated issue today,Other
Need new ration card application processed quickly - urgent issue for the past few days,Other
City bus route cancelled suddenly without notice - repeated issue since last week,Transport
Transformer making unusual noise and sparking - minor issue for the past few days,Electricity
Loudspeakers used at night disturbing sleep - minor issue for many days,PublicSafety
Open drains causing mosquito problem - serious issue today,Sanitation
 School needs more benches and fans - urgent issue regularly,Education
Irrigation watr not reaching the fields - major issue for a month - requesting help,Agriculture
Attention: Government office staff rude and not helpful - repeated issue today,Other
Street is damaged and difficult for vehicles - urgent issue for the past few days,Roads
Noise pollution from nearby factory at night - frequent issue today - kripya isko thik karein,Other
Noise pollution from nearby factory at night - urgent issue for a month,Other
Tap water is muddy and smells bad - urgent issue since yesterday,Water
Bus stop lacks shelter and seating for passengers - serious issue for a month,Transport
Irrigation water not reaching the fields - serious issue since yesterday - this is urgent,Agriculture
City bus route cancelled suddenly without notice - serious issue for a month - plz solve asap - plz,Transport
Loudspeakers used at night disturbing sleep - serious issue for a month - plz solve asap,PublicSafety
Noise pollution from nearby factory at night - severe issue for the past few days,Other
Potholes on the main road causing accidents - repeated issue today - please resolve asap,Roads
Aadhaar update facility not available at office - major issue regularly - cheppandi,Other
Mid-day meal quality is poor and insufficient - kindly fix this,Education
Health center closed during working hours - major issue since last week,Health
Hospital toilets unhygienic and unusable - repeated issue today,Health
Ambulance not arriving quickly during emergencies - major issue today - no one is taking action - please resolve,Health
Illegal sand mining observed nearby - repeated issue regularly,PublicSafety
Chain snatching incidents reported in the area,PublicSafety
Mid-day meal quality is poor and insufficient - minor issue regularly - cheppandi,Education
Transformer making unusual noise and sparking,Electricity
No proper drinking water facility in school - repeated issue for a month,Education
Bus stop lacks shelter and seating for passengers,Transport
Sewage water overflowing on the street - repeated issue for many days,Sanitation
Garbage not collected for many days - no one is taking action,Sanitation
Mid-day meal quality is poor and insufficient - serious issue today,Education
Frequent power cuts disturbing daily life - urgent issue since yesterday - kripya isko thik karein,Electricity
Debris blocking the road and not cleared - minor issue for the past few days,Roads
Medicines not available in government hospital pharmacy - repeated issue for many days,Health
"Paddy crops affected by pest attack, need support - urgent issue today",Agriculture
Pipeline leakage flooding the street - major issue today,Water
Garbage not collected for many days,Sanitation
"Paddy crops affected by pest attack, need support - severe issue for the past few days",Agriculture
Footpath broken and dangerous for pedestrians,Roads
Mid-day meal quality is poor and insufficient - severe issue for the past few days,Education
Teachers absent regularly and classes not held - frequent issue since last week - requesting help,Education
Ambulance not arriving quickly during emergencies - repeated issue since last week,Health
Mid-day meal quality is poor and insufficient - serious issue for the past few days - this is urgent,Education
Tap water is muddy and smells bad,Water
Chain snatching incidents reported in the area - frequent issue for the past few days,PublicSafety
Hospital toilets unhygienic and unusable - repeated issue since yesterday,Health
Public toilet is dirty and unusable - urgent issue regularly - requesting help,Sanitation
No drinking water supply since yesterday - frequent issue for a month,Water
Open drains causing mosquito problem - repeated issue since last week,Sanitation
Illegal sand mining observed nearby - frequent issue for a month,PublicSafety
Loudspeakers used at night disturbing sleep - minor issue since last week,PublicSafety
Teachers absent regularly and classes no held - cheppandi emi chestaru - please fix,Education
Complaint: Irrigation water not reaching the fields - severe issue since last week,Agriculture
Tap water is muddy and smells bad - urgent issue since yesterday,Water
Traffic signals not working properly at busy junctions - minor issue since last week - no one is taking action,Transport
 Divider damaged and unsafe for traffic - urgent issue for many days,Roads
Irrigation water not reaching the fields - repeated issue since yesterday,Agriculture
Pipeline leakage flooding the street - serious issue since yesterday,Water
Traffic signals not working properly at busy junctions - severe issue regularly - no one is taking action,Transport
Seeds not available on time for farmers - minor issue since last week - please take action,Agriculture
Noise pollution from nearby factory at night - frequent issue for the past few days,Other
Auto drivers overcharging passengers on routes - frequent issue for a month,Transport
Hospital toilets unhygienic and unusable - minor issue since last week,Health
Complaint: No drinking water supply since yesterday - frequent issue regularly - kindly fix this - please resolve,Water
Kindly note: Crop insurance claim pending for a long time - urgent issue since last week,Agriculture
No proper drinking water facility in school - frequent issue today,Education
Traffic signals not working properly at busy junctions - major issue today,Transport
No drinking water supply since yesterday - severe issue for a month,Water
Kindly note: Medicines not available in government hospital pharmacy - major issue today,Health
Complaint: Overhead water tank leaking heavily - asap issue for a month,Water
Traffic signals not working properly at busy junctions - severe issue for the past few days - kindly fix this - plz,Transport
Kindly note: Overhead water tank leaking heavily - serious issue for the past few days - plz solve asap,Water
Need new ration card application processed quickly - urgent issue regularly - kripya isko thik karein,Other
Drunken driving at night causing danger - repeated issue today - kripya isko thik karein,PublicSafety
Illegal sand mining observed nearby - serious issue for a month - no one is taking action,PublicSafety
Chain snatching incidents reported in the area - major issue for many days,PublicSafety
Debris blocking the road and not cleared - frequent issue regularly,Roads
Crop insurance claim pending for a long time - minor issue for a month - please take action,Agriculture
Attention: Voltage fluctuations damaging appliances - major issue regularly,Electricity
Debris blocking the road and not cleared - urgent issue for the past few days,Roads
School building walls are cracked and unsafe - urgent issue today,Education
Government office staff rude and not helpful - severe issue today - no one is taking action,Other
Teachers absent regularly and classes not held - minor issue since yesterday,Education
Aadhaar update facility not available at office - major issue for many days,Other
Complaint: Loudspeakers used at night disturbing sleep - minor issue today,PublicSafety
Teachers absent regularly and classes not held - major issue today - kripya isko thik karein,Education
Aadhaar update facility not available at office - serious issue regularly,Other
Irrigation water not reaching the fields - serious issue regularly,Agriculture
Crop insurance claim pending for a long time - urgent issue for the past few days - cheppandi emi chestaru,Agriculture
 Speeding vehicles in residential area need control - serious issue for the past few days,PublicSafety
Street is damaged and difficult for vehicles - minor issue for the past few days,Roads
Tap water is muddy and smells bad - serious issue for a month,Water
Frequent power cuts disturbing daily life - major issue for many days,Electricity
Tap water is muddy and smells bad - minor issue since yesterday - kripya isko thik karein,Water
Ambulance not arriving quickly during emergencies - repeated issue since last week,Health
 Chain snatching incidents reported in the area - repeated issue for many days,PublicSafety
Potholes on the main road causing accidents - frequent issue since yesterday,Roads
School needs more benches and fans - frequent issue for the past few days,Education
Delay in pension disbursement for senior citizens - frequent issue for a month,Other
Need new ration card application processed quickly - serious issue today - no one is taking action,Other
Health center closed during working hours - frequent issue today,Health
Bus stop lacks shelter and seating for passengers - serious issue for the past few days,Transport
Complaint: Irrigation water never reaching the fields - urgent issue for the past few days - kindly fix this,Agriculture
Attention: Auto drivers overcharging passengers on routes - major issue since yesterday - please take action,Transport
Mid-day meal quality is poor and insufficient - major issue since last week,Education
Kindly note: Crop insurance claim pending for a long time - minor issue for the past few days - please resolve asap,Agriculture
Electric pole leaning dangerously and may fall - frequent issue since yesterday,Electricity
Open drains causing mosquito problem - minor issue for a month - no one is taking action,Sanitation
Transformer making unusual noise and sparking - major issue for many days,Electricity
Drunken driving at night causing danger - serious issue since yesterday,PublicSafety
"Paddy crops affected by pest attack, need support - urgent issue for the past few days",Agriculture
Overhead water tank leaking heavily - severe issue for a month,Water
Tap water is muddy and smells bad - frequent issue for many days - no one is taking action,Water
City bus route cancelled suddenly without notice - serious issue for many days,Transport
Voltage fluctuations damaging appliances - minor issue for a month,Electricity
Complaint: Loudspeakers used at night disturbing sleep - plz solve asap,PublicSafety
Illegal sand mining observed nearby - minor issue for the past few days,PublicSafety
Attention: Crop insurance claim pending for a long time - serious issue for many days - this is urgent,Agriculture
Street lights not working at night - serious issue for the past few days,Electricity
Medicines not available in government hospital pharmacy - urgent issue for many days,Health
Teachers absent regularly and classes not held - repeated issue for a month,Education
Public toilet is filthy and unusable - repeated issue regularly,Sanitation
Public toilet is dirty and unusable - serious issue since yesterday,Sanitation
Complaint: Sewage wter overflowing on the street,Sanitation
Crop insurance claim pending for a long time - repeated issue for the past few days,Agriculture
Noise pollution from nearby factory at night - serious issue since yesterday,Other
Ambulance not arriving quickly during emergencies - repeated issue regularly,Health
Bus stop lacks shelter and seating for passengers - major issue for many days - kripya isko thik karein,Transport
Noise pollution from nearby factory at night,Other
Attention: Seeds not available on time for farmers - minor issue since last week - plz solve asap,Agriculture
" Paddy crops affected by pest attack, need support - severe issue for a month",Agriculture
Ambulance not arriving quickly during emergencies - repeated issue for the past few days,Health
Attention: Loudspeakers used at night disturbing sleep - serious issue for the past few days - this is urgent,PublicSafety
Chain snatching incidents reported in the area - major issue since last week - please take action,PublicSafety
Mid-day meal quality is poor and insufficient,Education
Public toilet is dirty and unusable - major issue since last week,Sanitation
Divider damaged and unsafe for traffic - frequent issue for a month,Roads
Public toilet is dirty and unusable - severe issue for a month,Sanitation
Sewage water overflowing on the street - urgent issue regularly,Sanitation
Drunken driving at night causing danger - urgent issue since last week,PublicSafety
Bus stop lacks shelter and seating for passengers - urgent issue regularly,Transport
 Auto drivers overcharging passengers on routes - repeated issue since last week,Transport
Open drains causing mosquito problem - urgent issue since last week,Sanitation
Street lights not working at night - urgent issue since last week,Electricity
Irrigation water not reaching the fields - serious issue since yesterday,Agriculture
Speeding vehicles in residential area need control - serious issue for the past few days,PublicSafety
Garbage not collected for many days - frequent issue regularly - kindly fix this,Sanitation
 Street lights not working at night - severe issue today,Electricity
Complaint: Fertilizer subsidy not credited to farmers - severe issue since last week - this is urgent,Agriculture
Mid-day meal quality is poor and insufficient - serious issue for the past few days - cheppandi,Education
Irrigation water not reaching the fields - major issue for the past few days,Agriculture
Garbage not collected for many days - minor issue since last week - please resolve,Sanitation
Delay in pension disbursement for senior citizens,Other
"Paddy crops affected by pest attack, need support - major issue for many days",Agriculture
Medicines not available in government hospital pharmacy - frequent issue today,Health
Aadhaar update facility not available at office - urgent issue today - kindly fix this,Other
School needs more benches and fans - repeated issue for a month,Education
Tap water is muddy and smells bad,Water
Frequent power cuts disturbing daily life - minor issue for the past few days - no one is taking action,Electricity
Attention: No proper drinking water facility in school - urgent issue for the past few days,Education
Garbage not collected for many days - severe issue for a month,Sanitation
Noise pollution from nearby factory at night - severe issue for a month,Other
Delay in pension disbursement for senior citizens - repeated issue today - this is urgent,Other
Government office staff rude and not helpful - serious issue today,Other
Fertilizer subsidy not credited to farmers - urgent issue since last week - please resolve asap,Agriculture
Speeding vehicles in residential area need control - urgent issue for a month - kripya,PublicSafety
Aadhaar update facility not available at office - major issue since last week,Other
Complaint: Chain snatching incidents reported in the area - serious issue for a month,PublicSafety
Crop insurance claim pending for a long time,Agriculture
Aadhaar update facility never available at office - repeated issue regularly,Other
Complaint: Aadhaar update facility not available at office - serious issue today,Other
"Stray dogs attacking people, need control measures - minor issue for many days",Health
Kindly note: Waste dumped in open area creating strong smell - repeated issue since yesterday,Sanitation
Overhead water tank leaking heavily - urgent issue regularly - kripya isko thik karein,Water
Divider damaged and unsafe for traffic - minor issue regularly - no one is taking action,Roads
Loudspeakers used at night disturbing sleep - frequent issue since last week,PublicSafety
Bus stop lacks shelter and seating for passengers - severe issue since yesterday,Transport
Complaint: Seeds not available on time for farmers - urgent issue since last week,Agriculture
Seeds not available on time for farmers - minor issue for a month - please take action,Agriculture
Hospital toilets unhygienic and unusable - frequent issue today - no one is taking action,Health
Ambulance not arriving quickly during emergencies - minor issue today,Health
Transformer making unusual noise and sparking - urgent issue today - please take action,Electricity
Delay in pension disbursement for senior citizens - severe issue since last week,Other
Potholes on the main road causing accidents - please take action,Roads
Railway crossing gate not working causing traffic jams - serious issue since last week - please take action,Transport
Overhead water tank leaking heavily,Water
Government office staff rude and not helpful,Other
Irrigation water not reaching the fields - repeated issue since last week - please resolve asap,Agriculture
Footpath broken and dangerous for pedestrians - serious issue for a month,Roads
Potholes on the main road causing accidents - major issue since yesterday - please resolve,Roads
City bus route cancelled suddenly without notice - severe issue for a month,Transport
Overhead water tank leaking heavily - major issue for many days - kindly fix this,Water
Delay in pension disbursement for senior citizens - minor issue today,Other
"Stray dogs attacking people, need control measures - severe issue for the past few days - plz solve asap",Health
Debris blocking the road and not cleared - urgent issue for many days - kripya isko thik karein,Roads
Street lights not working at night - repeated issue since last week - kindly fix this,Electricity
Street is damaged and difficult for vehicles - major issue regularly,Roads
"Complaint: Stray dogs attacking people, need control measures - severe issue today",Health
Health center closed during working hours - frequent issue for a month - this is immediate,Health
Tap water is muddy and smells bad - severe issue for the past few days - plz solve asap,Water
Divider damaged and unsafe for traffic - frequent issue since last week,Roads
Teachers absent regularly and classes not held - minor issue for the past few days,Education
"Stray dogs attacking people, need control measures - severe issue for the past few days",Health
City bus route cancelled suddenly without notice - urgent issue regularly,Transport
Open drains causing mosquito problem - serious issue for the past few days,Sanitation
Frequent power cuts disturbing daily life - serious issue since last week,Electricity
Voltage fluctuations damaging appliances - serious issue for many days,Electricity
Divider damaged and unsafe for traffic - severe issue since last week,Roads
Attention: Crop insurance claim pending for a long time - serious issue for many days,Agriculture
Teachers absent regularly and classes not held - severe issue today,Education
Mid-day meal quality is poor and insufficient - severe issue since last week,Education
Medicines not available in government hospital pharmacy - serious issue regularly,Health
Loudspeakers used at night disturbing sleep - serious issue for a month,PublicSafety
Seeds not available on time for farmers - frequent issue for many days - plz solve asap,Agriculture
Pipeline leakage flooding the street - major issue today - requesting help,Water
Open drains causing mosquito problem - urgent issue since yesterday,Sanitation
Need new ration card application processed quickly - urgent issue for the past few days,Other
Overhead water tank leaking heavily - severe issue since last week - plz solve asap,Water
Health center closed during working hours - major issue since last week - cheppandi emi chestaru,Health
Need new ration card application processed quickly - major issue today,Other
Frequent power cuts disturbing daily life,Electricity
Hospital toilets unhygienic and unusable - repeated issue today,Health
Mid-day meal quality is poor and insufficient - minor issue for many days - please take action,Education
"Attention: Paddy crops affected by pest attack, need support - serious issue since yesterday - please resolve asap",Agriculture
 Fertilizer subsidy not credited to farmers - severe issue for a month,Agriculture
Auto drivers overcharging passengers on routes - minor issue for many days,Transport
Noise pollution from nearby factory at night - repeated issue since last week - kindly fix this,Other
Street lights not working at night - minor issue for many days,Electricity
Kindly note: Delay in pension disbursement for senior citizens - severe issue for a month,Other
No proper drinking water facility in school - major issue since yesterday - this is urgent,Education
Loudspeakers used at night disturbing sleep,PublicSafety
School needs more benches and fans - severe issue today - please resolve asap,Education
Potholes on the main road causing accidents,Roads
Railway crossing gate not working causing traffic jams - major issue regularly - requesting help,Transport
Complaint: Divider damaged and unsafe for traffic - repeated issue since yesterday,Roads
 Sewage water overflowing on the street - severe issue since yesterday,Sanitation
Aadhaar update facility not available at office - repeated issue for many days,Other
Attention: Aadhaar update facility not available at office - severe issue for many days - kindly fix this,Other
"Paddy crops affected by pest attack, need support - repeated issue for many days - kindly fix this",Agriculture
Kindly note: Divider damaged and unsafe for traffic - major issue since last week - requesting help,Roads
"Stray dogs attacking people, need control measures - minor issue today",Health
Street is damaged and difficult for vehicles - frequent issue regularly - requesting help,Roads
Attention: City bus route cancelled suddenly without notice - urgent issue for many days,Transport
Public toilet is dirty and unusable - urgent issue for the past few days,Sanitation
Need new ration card application processed quickly - major issue for many days,Other
Voltage fluctuations damaging appliances - repeated issue for many days,Electricity
Mid-day meal quality is poor and insufficient - serious issue for many days,Education
Speeding vehicles in residential area need control - minor issue for the past few days - please take action,PublicSafety
Traffic signals not working properly at busy junctions - frequent issue since yesterday - kripya isko thik karein,Transport
Garbage not collected for many days - severe issue for many days - kripya isko thik karein,Sanitation
No drinking water supply since yesterday - frequent issue today,Water
Aadhaar update facility not available at office - severe issue for many days,Other
Noise pollution from nearby factory at night - urgent issue for many days - kindly fix this,Other
Sewage water overflowing on the street - serious issue for many days,Sanitation
School needs more benches and fans - major issue since yesterday,Education
"Paddy crops affected by pest attack, need support - repeated issue for many days",Agriculture
Street lights not working at night - urgent issue for a month - requesting help,Electricity
 Chain snatching incidents reported in the area - urgent issue since yesterday,PublicSafety
School building walls are cracked and unsafe - severe issue for a month,Education
Overhead water tank dripping heavily - severe issue for the past few days,Water
Chain snatching incidents reported in the area,PublicSafety
Health center closed during working hours - major issue for a month,Health
Kindly note: Irrigation water not reaching the fields - severe issue for the past few days - cheppandi emi chestaru,Agriculture
Noise pollution from nearby factory at night - severe issue since yesterday,Other
Auto drivers overcharging passengers on routes - frequent issue regularly,Transport
 Mid-day meal quality is poor and insufficient - serious issue regularly,Education
Health center closed during working hours - major issue regularly - plz solve asap,Health
Divider damaged and unsafe for traffic,Roads
Footpath cracked and dangerous for pedestrians - minor issue today - cheppandi emi chestaru,Roads
Seeds not available on time for farmers - frequent issue regularly,Agriculture
Complaint: Ambulance not arriving quickly during emergencies - severe issue for the past few days,Health
Overhead water tank leaking heavily - urgent issue for the past few days - please take action,Water
Complaint: Medicines not available in government hospital pharmacy - severe issue since last week - plz,Health
Seeds no available on time for farmers - serious issue for a month - this is urgent,Agriculture
Complaint: Footpath broken and dangerous for pedestrians - frequent issue since last week - cheppandi emi chestaru,Roads
Drunken driving at night causing danger - severe issue for the past few days - please take action,PublicSafety
Potholes on the main road causing accidents - severe issue regularly,Roads
No proper drinking water facility in school - frequent issue since yesterday,Education
Attention: Crop insurance claim pending for a long time - repeated issue since yesterday,Agriculture
Attention: Debris blocking the road and not cleared - minor issue for the past few days,Roads
Health center closed during working hours - severe issue for the past few days - kripya isko thik karein,Health
Complaint: Hospital toilets unhygienic and unusable - repeated issue for a month,Health
City bus route cancelled suddenly without notice - frequent issue since yesterday,Transport
Loudspeakers used at night disturbing sleep - severe issue today,PublicSafety
Potholes on the main road causing accidents - severe issue since last week,Roads
 Railway crossing gate not working causing traffic jams - frequent issue today,Transport
Complaint: Transformer making unusual noise and sparking - repeated issue for many days - requesting help,Electricity
Delay in pension disbursement for senior citizens - serious issue today,Other
 No proper drinking water facility in school - minor issue for many days,Education
Voltage fluctuations damaging appliances - minor issue for many days,Electricity
Kindly note: Frequent power cuts disturbing daily life - repeated issue for a month - this is urgent,Electricity
Sewage water overflowing on the street - frequent issue since last week,Sanitation
Pipeline leakage flooding the street - repeated issue since last week,Water
Health center closed during working hours,Health
Kindly note: Railway crossing gate not working causing traffic jams - frequent issue since yesterday,Transport
No proper drinking water facility in school - serious issue since yesterday,Education
No drinking water supply since yesterday - frequent issue since yesterday,Water
Mid-day meal quality is poor and insufficient - serious issue for a month - cheppandi emi chestaru,Education
Crop insurance claim pending for a long time - repeated issue regularly,Agriculture
No drinking water supply since yesterday,Water
Kindly note: Health center closed during working hours - frequent issue since last week,Health
Street is damaged and difficult for vehicles - minor issue for the past few days - please resolve asap,Roads
Delay in pension disbursement for senior citizens - serious issue for many days,Other
 Chain snatching incidents reported in the area - repeated issue for a month - no one is taking action,PublicSafety
Seeds not available on time for farmers,Agriculture
Public toilet is dirty and unusable - repeated issue for many days - kripya isko thik karein,Sanitation
Aadhaar update facility not available at office - minor issue since yesterday,Other
Loudspeakers used at night disturbing sleep - urgent issue since yesterday - please take action,PublicSafety
Frequent power cuts disturbing daily life - repeated issue for a month - no one is taking action,Electricity
Irregular water supply causing problems - serious issue for a month,Water
Street lights not working at night - major issue regularly,Electricity
 Transformer making unusual noise and sparking - repeated issue since last week - please resolve asap,Electricity
Garbage not collected for many days - severe issue for many days,Sanitation
Kindly note: Irregular water supply causing problems,Water
Street is damaged and difficult for vehicles - urgent issue today - kripya isko thik karein,Roads
Medicines not available in government hospital pharmacy - minor issue regularly,Health
Kindly note: Garbage not collected for many days - major issue regularly - plz solve asap,Sanitation
Mid-day meal quality is poor and insufficient - serious issue regularly - kripya isko thik karein,Education
Sewage water overflowing on the street - major issue for a month,Sanitation
Debris blocking the road and not cleared - frequent issue for the past few days - no one is taking action,Roads
Divider damaged and unsafe for traffic - minor issue since last week - no one is taking action,Roads
School building walls are cracked and unsafe - frequent issue for a month - cheppandi emi chestaru,Education
Street is damaged and difficult for vehicles,Roads
Drunken driving at night causing danger - serious issue for many days,PublicSafety
"Paddy crops affected by pest attack, need support - minor issue today",Agriculture
Footpath broken and dangerous for pedestrians - severe issue for a month - no one is taking action,Roads
 Street lights not working at night - repeated issue today,Electricity
Kindly note: Drunken driving at night causing danger - urgent issue for a month - no one is taking action,PublicSafety
Auto drivers overcharging passengers on routes - minor issue for many days,Transport
"Paddy crops affected by pest attack, need support - urgent issue for many days - please resolve asap",Agriculture
"Stray dogs attacking people, need control measures - repeated issue today",Health
Sewage water overflowing on the street - repeated issue for a month,Sanitation
Street is damaged and difficult for vehicles - severe issue today - cheppandi emi chestaru,Roads
Government office staff rude and not helpful - serious issue for a month,Other
Mid-day meal quality is poor and insufficient - serious issue for a month - kripya isko thik karein,Education
Speeding vehicles in residential area need control - frequent issue since yesterday,PublicSafety
Aadhaar update facility not available at office - repeated issue since last week - please resolve asap,Other
Chain snatching incidents reported in the area - major issue since yesterday - cheppandi emi chestaru,PublicSafety
Waste dumped in open area creating strong smell - severe issue regularly,Sanitation
Pipeline leakage flooding the street - urgent issue since yesterday,Water
Crop insurance claim pending for a long time - urgent issue since last week,Agriculture
Garbage not collected for many days - major issue since last week,Sanitation
Chain snatching incidents reported in the area - frequent issue for the past few days,PublicSafety
School needs more benches and fans,Education
Traffic signals not working properly at busy junctions - repeated issue for many days - no one is taking action,Transport
No drinking water supply since yesterday - repeated issue since yesterday,Water
Fertilizer subsidy never credited to farmers,Agriculture
 Tap water is muddy and smells bad - major issue for the past few days - kindly fix this,Water
Fertilizer subsidy not credited to farmers - major issue since yesterday,Agriculture
Open drains causing mosquito problem - serious issue for a month,Sanitation
Waste dumped in open area creating strong smell - repeated issue since yesterday - kripya isko thik karein,Sanitation
School building walls are cracked and unsafe - minor issue for many days - no one is taking action,Education
Traffic signals not working properly at busy junctions - repeated issue regularly,Transport
Teachers absent regularly and classes not held - severe issue for a month,Education
Hospital toilets unhygienic and unusable - frequent issue since last week,Health
Illegal sand mining observed nearby,PublicSafety
Railway crossing gate not working causing traffic jams - major issue for a month,Transport
Mid-day meal quality is poor and insufficient - serious issue for the past few days - please take action,Education
Attention: Divider damaged and unsafe for traffic - major issue for many days,Roads
Garbage not collected for many days - frequent issue for the past few days,Sanitation
City bus route cancelled suddenly without notice - severe issue for many days,Transport
Medicines not available in government hospital pharmacy - urgent issue since yesterday,Health
Ambulance not arriving quickly during emergencies - frequent issue for a month,Health
Medicines not available in government hospital pharmacy - major issue today - kripya isko thik karein,Health
Kindly note: Auto drivers overcharging passengers on routes - cheppandi emi chestaru,Transport
Fertilizer subsidy not credited to farmers - minor issue since yesterday,Agriculture
Kindly noe: Ambulance not arriving quickly during emergencies - major issue for a month,Health
Potholes on the main road causing accidents - repeated issue for many days,Roads
Crop insurance claim pending for a long time - urgent issue since last week,Agriculture
Medicines never available in government hospital pharmacy,Health
Garbage no collected for many days - please take action,Sanitation
Irrigation water not reaching the fields - repeated issue since yesterday - cheppandi emi chestaru,Agriculture
Mid-day meal quality is poor and insufficient - severe issue regularly - kindly fix this,Education
Frequent power cuts disturbing daily life - serious issue since yesterday,Electricity
Transformer making unusual noise and sparking - frequent issue for many days,Electricity
Street lights not working at night - severe issue since last week - plz solve asap,Electricity
Complaint: Noise pollution from nearby factory at night,Other
Irrigation water not reaching the fields - urgent issue for a month,Agriculture
City bus route cancelled suddenly without notice - major issue for the past few days,Transport
Kindly note: Garbage not collected for many days - frequent issue since last week,Sanitation
Illegal sand mining observed nearby - major issue regularly - this is urgent,PublicSafety
 Waste dumped in open area creating strong smell - urgent issue since yesterday,Sanitation
 Potholes on the main road causing accidents - frequent issue since yesterday,Roads
Street lights not working at night - asap issue for the past few days,Electricity
"Stray dogs attacking people, need control measures - urgent issue for the past few days",Health
Mid-day meal quality is poor and insufficient - repeated issue regularly,Education
Public toilet is dirty and unusable - frequent issue since last week,Sanitation
"Stray dogs attacking people, need control measures - minor issue since last week - plz solve asap",Health
Speeding vehicles in residential area need control - urgent issue today,PublicSafety
Need new ration card application processed quickly,Other
Complaint: School building walls are cracked and unsafe - serious issue since yesterday,Education
Government office staff rude and never helpful - major issue regularly,Other
Potholes on the main road causing accidents,Roads
Speeding vehicles in residential area need control - urgent issue for a month - no one is taking action,PublicSafety
Voltage fluctuations damaging appliances - frequent issue for a month,Electricity
Irregular water supply causing problems - minor issue since last week - cheppandi emi chestaru,Water
Overhead water tank leaking heavily - serious issue today,Water
Complaint: Garbage not collected for many days,Sanitation
Illegal sand mining observed nearby - minor issue since last week,PublicSafety
Pipeline leakage flooding the street - urgent issue for the past few days,Water
Mid-day meal quality is poor and insufficient - repeated issue for a month - kripya isko thik karein,Education
Ambulance not arriving quickly during emergencies - severe issue since last week,Health
Delay in pension disbursement for senior citizens - serious issue for a month - cheppandi emi chestaru,Other
Kindly note: School needs more benches and fans - frequent issue for the past few days - please resolve asap,Education
Street lights not working at night - minor issue for the past few days - no one is taking action,Electricity
Divider damaged and unsafe for traffic - major issue since yesterday,Roads
Noise pollution from nearby factory at night - minor issue for many days - please take action,Other
Noise pollution from nearby factory at night - major issue since yesterday,Other
Traffic signals not working properly at busy junctions - major issue today - cheppandi emi chestaru,Transport
Attention: Tap water is muddy and smells bad - repeated issue regularly - cheppandi emi chestaru,Water
Seeds not available on time for farmers - urgent issue today - please fix,Agriculture
Attention: Medicines never available in government hospital pharmacy - minor issue since last week,Health
Chain snatching incidents reported in the area - minor issue for the past few days,PublicSafety
Voltage fluctuations damaging appliances - major issue today,Electricity
